"pantool","tool1","tool2","rfdist"
"panacota","clipkit","snippy",0.00290865789999999
"panacota","fixcore","snippy",0.00175075400000002
"panacota","hmmcleaner","snippy",0.00204736410000001
"panacota","snippy","snippy",0
"panacota","subset","snippy",0.00291106880000003
"panacota","treeshrink","snippy",0.00280573540000002
"panacota","trimmal","snippy",0.00266984980000002
"roary_def","clipkit","snippy",0.00419460260000002
"roary_def","fixcore","snippy",0.00194006330000001
"roary_def","hmmcleaner","snippy",0.00268050389999999
"roary_def","snippy","snippy",0
"roary_def","subset","snippy",0.0041616101
"roary_def","treeshrink","snippy",0.00390285420000001
"roary_def","trimmal","snippy",0.00401257730000001
"panaroo","clipkit","snippy",0.00564929619999997
"panaroo","fixcore","snippy",0.0024276479
"panaroo","hmmcleaner","snippy",0.00399795159999998
"panaroo","snippy","snippy",0
"panaroo","subset","snippy",0.00580473939999998
"panaroo","treeshrink","snippy",0.0054882388
"panaroo","trimmal","snippy",0.00534525589999999
"panaroo_def","clipkit","snippy",0.00579177070000001
"panaroo_def","fixcore","snippy",0.00240101959999999
"panaroo_def","hmmcleaner","snippy",0.0039106353
"panaroo_def","snippy","snippy",0
"panaroo_def","subset","snippy",0.00646596650000001
"panaroo_def","treeshrink","snippy",0.00562918539999999
"panaroo_def","trimmal","snippy",0.00553370480000001
